Country,country_code,Year,Month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,currency
New Zealand,NZL,2004,5,4.35,1.64,2.65,1.5,-8.536585366,NZD
Norway,NOR,2004,5,35.5,6.8491,5.183162751,12.24137931,78.72975005,NOK
Pakistan,PAK,2004,5,110,57.76,1.904432133,37.93103448,-34.32992645,PKR
Peru,PER,2004,5,8.99,3.49,2.57,3.1,-11.1747851,PEN
Philippines,PHL,2004,5,69,55.9,1.23,23.79310345,-57.43630868,PHP
Poland,POL,2004,5,6.3,3.87,1.63,2.172413793,-43.86527666,PLN
Russia,RUS,2004,5,42,29,1.45,14.48275862,-50.05945303,RUB
Saudi Arabia,SAU,2004,5,2.4,3.7502,0.639965868,0.827586207,-77.93221143,SAR
Singapore,SGP,2004,5,3.3,1.71,1.92,1.137931034,-33.45432547,SGD
South Africa,ZAF,2004,5,12.4,6.66,1.86,4.275862069,-35.79786683,ZAR
South Korea,KOR,2004,5,3200,1177,2.72,1103.448276,-6.249084464,KRW
Sri Lanka,LKA,2004,5,140,99,1.414141414,48.27586207,-51.23650296,LKR
Sweden,SWE,2004,5,30,7.61,3.94,10.34482759,35.9372876,SEK
Switzerland,CHE,2004,5,6.3,1.29,4.9,2.172413793,68.40417001,CHF
Taiwan,TWN,2004,5,75,33.4,2.24,25.86206897,-22.56865579,TWD
Thailand,THA,2004,5,59,40.8,1.45,20.34482759,-50.1352265,THB
Turkey,TUR,2004,5,3950000,1531000,2.58,1362068.966,-11.0340323,TRY
UAE,ARE,2004,5,0,0,0,0,0,AED
Ukraine,UKR,2004,5,7.25,5.3315,1.359842446,2.5,-53.10888118,UAH
United States,USA,2004,5,2.9,1,2.9,1,0,USD
Uruguay,URY,2004,5,29.8,29.735,1.002185976,10.27586207,-65.44186289,UYU
Venezuela,VEN,2004,5,4400,2977,1.48,1517.241379,-49.03455226,VEF
Vietnam,VNM,2004,7,0,0,0,0,0,VND
Austria,AUT,2004,7,0,0,0,0,0,EUR
Belgium,BEL,2004,7,0,0,0,0,0,EUR
Estonia,EST,2004,7,0,0,0,0,0,EUR
Finland,FIN,2004,7,0,0,0,0,0,EUR
France,FRA,2004,7,0,0,0,0,0,EUR
Germany,DEU,2004,7,0,0,0,0,0,EUR
Greece,GRC,2004,7,0,0,0,0,0,EUR
Ireland,IRL,2004,7,0,0,0,0,0,EUR
Italy,ITA,2004,7,0,0,0,0,0,EUR
Netherlands,NLD,2004,7,0,0,0,0,0,EUR
Portugal,PRT,2004,7,0,0,0,0,0,EUR
Spain,ESP,2004,7,0,0,0,0,0,EUR
Argentina,ARG,2003,4,4.1,2.88,1.4,1.512915129,-47.46822468,ARS
Australia,AUS,2003,4,3,1.61,1.8,1.10701107,-31.24154844,AUD
Brazil,BRA,2003,4,4.55,3.07,1.44,1.67896679,-45.31052802,BRL
Britain,GBR,2003,4,1.99,0.632911392,3.08,0.734317343,16.02214022,GBP
Canada,CAN,2003,4,3.2,1.45,2.17,1.180811808,-18.56470289,CAD
Chile,CHL,2003,4,1400,716,1.95,516.6051661,-27.8484405,CLP
China,CHN,2003,4,9.9,8.28,1.2,3.653136531,-55.87999358,CNY
Colombia,COL,2003,4,0,0,0,0,0,COP
Costa Rica,CRI,2003,4,0,0,0,0,0,CRC
Czech Republic,CZE,2003,4,56.57,28.9,1.91,20.87453875,-27.76976213,CZK
Denmark,DNK,2003,4,27.75,6.78,3.99,10.2398524,51.03027136,DKK
Egypt,EGY,2003,4,8,5.92,1.38,2.95202952,-50.13463648,EGP
Euro area,EUR,2003,4,2.71,0.909090909,2.98,1,10,EUR
Hong Kong,HKG,2003,4,11.5,7.8,1.47,4.243542435,-45.5956098,HKD
Hungary,HUN,2003,4,490,224,2.14,180.8118081,-19.2804428,HUF
India,IND,2003,4,0,0,0,0,0,INR
Indonesia,IDN,2003,4,16100,8740,1.81,5940.95941,-32.02563605,IDR
Israel,ISR,2003,4,0,0,0,0,0,ILS
Japan,JPN,2003,4,262,120,2.18,96.67896679,-19.43419434,JPY
Latvia,LVA,2003,4,0,0,0,0,0,LVL
Lithuania,LTU,2003,4,0,0,0,0,0,LTL
Malaysia,MYS,2003,4,5.04,3.8,1.33,1.859778598,-51.05845795,MYR
Mexico,MEX,2003,4,23,10.53,2.14,8.487084871,-19.40090341,MXN
New Zealand,NZL,2003,4,3.95,1.78,2.15,1.457564576,-18.11434968,NZD
Norway,NOR,2003,4,0,0,0,0,0,NOK
Pakistan,PAK,2003,4,0,0,0,0,0,PKR
Peru,PER,2003,4,7.9,3.46,2.28,2.915129151,-15.74771239,PEN
Philippines,PHL,2003,4,65,52.5,1.23,23.98523985,-54.31382885,PHP
Poland,POL,2003,4,6.3,3.89,1.56,2.324723247,-40.23847693,PLN
Russia,RUS,2003,4,41,31.1,1.31,15.12915129,-51.35321128,RUB
Saudi Arabia,SAU,2003,4,0,0,0,0,0,SAR
Singapore,SGP,2003,4,3.3,1.78,1.85,1.217712177,-31.58920353,SGD
South Africa,ZAF,2003,4,13.95,7.56,1.74,5.147601476,-31.91003339,ZAR
South Korea,KOR,2003,4,3300,1220,2.63,1217.712177,-0.187526465,KRW
Sri Lanka,LKA,2003,4,0,0,0,0,0,LKR
Sweden,SWE,2003,4,30,8.34,3.5,11.0701107,32.7351403,SEK
Switzerland,CHE,2003,4,6.3,1.37,4.52,2.324723247,69.68782827,CHF
Taiwan,TWN,2003,4,70,34.8,2.01,25.8302583,-25.77511982,TWD
Thailand,THA,2003,4,59,42.7,1.37,21.77121771,-49.01354166,THB
Turkey,TUR,2003,4,3750000,1600500,2.28,1383763.838,-13.54177834,TRY
UAE,ARE,2003,4,0,0,0,0,0,AED
Ukraine,UKR,2003,4,0,0,0,0,0,UAH
United States,USA,2003,4,2.71,1,2.71,1,0,USD
Uruguay,URY,2003,4,0,0,0,0,0,UYU
Venezuela,VEN,2003,4,3700,1598,2.32,1365.313653,-14.56109805,VEF
Vietnam,VNM,2003,7,0,0,0,0,0,VND
Austria,AUT,2003,7,0,0,0,0,0,EUR
Belgium,BEL,2003,7,0,0,0,0,0,EUR
Estonia,EST,2003,7,0,0,0,0,0,EUR
Finland,FIN,2003,7,0,0,0,0,0,EUR
France,FRA,2003,7,0,0,0,0,0,EUR
Germany,DEU,2003,7,0,0,0,0,0,EUR
Greece,GRC,2003,7,0,0,0,0,0,EUR
Ireland,IRL,2003,7,0,0,0,0,0,EUR
Italy,ITA,2003,7,0,0,0,0,0,EUR
Netherlands,NLD,2003,7,0,0,0,0,0,EUR
Portugal,PRT,2003,7,0,0,0,0,0,EUR
Spain,ESP,2003,7,0,0,0,0,0,EUR
Argentina,ARG,2002,4,2.5,3.13,0.78,1.004016064,-67.92280945,ARS
Australia,AUS,2002,4,3,1.86,1.62,1.204819277,-35.22477005,AUD
Brazil,BRA,2002,4,3.6,2.34,1.55,1.445783133,-38.21439605,BRL
Britain,GBR,2002,4,1.99,0.689655172,2.88,0.799196787,15.88353414,GBP
Canada,CAN,2002,4,3.33,1.57,2.12,1.337349398,-14.81850971,CAD
Chile,CHL,2002,4,1400,655,2.16,562.248996,-14.16045863,CLP
China,CHN,2002,4,10.5,8.28,1.27,4.21686747,-49.07164891,CNY
Colombia,COL,2002,4,0,0,0,0,0,COP
Costa Rica,CRI,2002,4,0,0,0,0,0,CRC
Czech Republic,CZE,2002,4,56.28,34,1.66,22.60240964,-33.52232459,CZK
Denmark,DNK,2002,4,24.75,8.38,2.96,9.939759036,18.61287633,DKK
Egypt,EGY,2002,4,0,0,0,0,0,EGP
Euro area,EUR,2002,4,2.67,1.123595506,2.37,1.072289157,-4.56626506,EUR
Hong Kong,HKG,2002,4,11.2,8,1.4,4.497991968,-43.7751004,HKD
Hungary,HUN,2002,4,459,272,1.69,184.3373494,-32.22891566,HUF
India,IND,2002,4,0,0,0,0,0,INR
Indonesia,IDN,2002,4,16000,9430,1.71,6425.702811,-31.85893095,IDR
Israel,ISR,2002,4,12,4.79,2.51,4.819277108,0.61121312,ILS
Japan,JPN,2002,4,262,130,2.01,105.2208835,-19.06085882,JPY
Latvia,LVA,2002,4,0,0,0,0,0,LVL
Lithuania,LTU,2002,4,0,0,0,0,0,LTL
Malaysia,MYS,2002,4,5.04,3.8,1.33,2.024096386,-46.73430564,MYR
Mexico,MEX,2002,4,21.9,9.28,2.37,8.795180723,-5.224345658,MXN
